id,nev,ismertnev,orszag,megye,varos,cim,osmid,osmtype,lat,lon
4358,Szent Bernát-kápolna,,12,19,Eplény,,375916820,way,47.2091868,17.9147966
4359,Szentlélek-templom,,12,19,Porva,,375916835,way,47.3103516,17.8131614
4360,Magyarok Nagyasszonya-kápolna,Back kápolna,12,6,Ásotthalom,55-ös főút mentén,375916807,way,46.2407499,19.7040107
4361,Jézus Szíve-kápolna,,12,6,Derekegyház,Petőfi u.,1105811698,way,46.5812849,20.3572055
4362,Jó Pásztor kórházkápolna,,12,6,Szentes,Simai F. u.,8589621616,node,46.6629453,20.255101
4363,Szent Mihály-kápolna,budatétényi kápolna,12,5,Budapest XXII. kerület,Kápolna u. 31.,375916830,way,47.4179943,19.0079089
4364,Szent Erzsébet  templom,Nagytoldipusztai templom,12,15,Andocs,Nagytoldipuszta,375916822,way,46.6482026,17.8880954
4365,Magyarok Nagyasszonya-templom,szőlőskislaki templom,12,15,Balatonboglár,Szőlőskislak,375916810,way,46.7367924,17.6691445
4366,Szent Vendel-templom,,12,15,Ordacsehi,,375916834,way,46.7431089,17.6244801
4367,Nagyboldogasszony-templom,Jankovich-üdülőtelep temploma,12,15,Balatonboglár,Jankovich Üdülőtelep,375916812,way,46.7708787,17.6294324
4368,Szűz Mária Szíve-templom,Fenyves-alsó,12,15,Balatonfenyves,Templom köz 1.,375916837,way,46.7039778,17.4396681
4369,Szent Anna-kápolna,alsóbélatelepi kápolna,12,15,Fonyód,Alsóbélatelep,363891497,way,46.7266619,17.5266455
4370,Nagyboldogasszony-kápolna,,12,15,Balatonmáriafürdő,Rákóczi utca,328722647,way,46.7049874,17.3802531
4371,Misézőhely a Szent Lázár Kórházban,,12,13,Salgótarján,Füleki út 54-56.,8561870806,node,48.1149588,19.8095665
4372,Szent Kereszt kórházkápolna,,12,13,Pásztó,Semmelweis u. 15-17.,8518423591,node,47.9183688,19.6913517
4373,Misézőhely a MÁV Kórházban,,12,11,Szolnok,Verseghy Ferenc út 6-8.,8585085123,node,47.1744693,20.2069027
4374,misézőhely a Jávorszky Ödön-kórházban,,12,14,Vác,Argenti Döme tér 1-3.,8453604725,node,47.7838713,19.1480551
4375,Borromeo Szent Károly kápolna,Irgalmasrendi kápolna,12,14,Vác,Március 15. tér 7-9.,8453488225,node,47.7787784,19.1265289
4376,Munkás Szent József-kápolna,,12,13,Nagykeresztúr,,375933478,way,48.0388088,19.728331
4377,Urunk mennybemenetele kápolna,Rádpusztai kápolna,12,15,Balatonlelle,Rádpuszta,314137725,way,46.7704584,17.7590809
4378,Nepomuki Szent János-templom,,12,15,Szólád,Kossuth L. u. 38.,165041874,way,46.7872866,17.8402574
4379,Árpád-házi Szent Erzsébet templom,,12,15,Kötcse,,167982208,way,46.7513082,17.8596725
4380,Szeplőtelen Fogantatás-templom,,12,15,Nagycsepely,,165032597,way,46.7488192,17.8354208
4381,Szent Kereszt felmagasztalása-templom,,12,15,Teleki,,375933491,way,46.7664808,17.8287845
4382,Kórházkápolna - Kaposi Mór Kórház,,12,15,Kaposvár,,8685705769,node,46.3599099,17.7993511
4383,Árpád-házi Szent Margit iskolakápolna,Újvárosi iskolakápolna,12,14,Cegléd,,NULL,NULL,47.2369003,19.7595005
4384,Kisboldogasszony-kápolna,zöldhalmi kápolna,12,14,Csemő,Zöldhalom,375933475,way,47.1344518,19.7281171
4385,Munkás Szent József-kápolna,Monorierdő Szent József-kápolna,12,14,Monor,"Monorierdő, Ősz u. 17-19.",8115392905,node,47.3107143,19.498892
4386,Misézőhely - Gyálarét,Gyálaréti házkápolna,12,6,Szeged,"6729 Gyálarét, Koszorú u. 49.",919999904,way,46.2048901,20.1101485
4387,Misézőhely - Kecskéstelep,Kecskéstelepi házkápolna,12,6,Szeged,Zombori u. 24.,7548656421,node,46.2352973,20.1078967
4389,Jó Pásztor ökumenikus templom,,12,9,Hortobágy,,375933474,way,47.5833642,21.1497235
4390,Misézőhely a Bodaszőlői Kultúrházban,,12,9,Hajdúböszörmény,Kultúrház,8455434134,node,47.6344009,21.6119208
4391,Szent Donát-kápolna,,12,8,Nyúl,Kápolna utca 62.,375933487,way,47.5791003,17.6741852
4392,Urunk színeváltozása-templom,,12,15,Hollád,"8731, Petőfi u. 72.",372184678,way,46.6409273,17.3102233
4393,Szent Donát-kápolna,,12,15,Hollád,Bari-hegy,296154354,way,46.6524326,17.3283076
4394,Szent Kereszt-templom,,12,15,Balatonföldvár,Széchényi tér,371798373,way,46.8525345,17.8806303
4395,Szent Erzsébet-templom,,12,15,Somogybabod,Kossuth u.,375916823,way,46.6717026,17.7765681
4396,Keresztelő Szent János-templom,,12,15,Somogytúr,,293270949,way,46.7058273,17.7619667
4397,Rózsafüzér királynéja-kápolna,,12,15,Visz,Rákóczi u.,910345929,way,46.7259978,17.7812656
